Id,Start time,Completion time,Email,Name,Reviewer Initials,"ID (e.g.  PM1, CT2 or EU3)",Elligibility,Reasons for excluison ,trial open/published date ,Trial registry ID,Trial name,protocol available,Protocol type,SAP available,number of PRIMARY outcomes,Primary outcome(s),Result reporting,Specify partially available results ,PLANED overall sample  sample size,Does the sample size per arm differ?,Enter PLANED sample size per arm ( equally distributed),Enter PLANED sample size per arm ( NOT equally distributed/unclear),ACTUAL overall sample size( number of patients recruited),Does the ACTUAL sample size differ per arm?,Actual sample size per arm ( equally distributed) ,Actual sample size per arm ( Not equally distributed),Planned trial duration reporting,Specify PLANNED trial duration ( months),Specify ACTUAL trial duration ( months),Statistical methodologies/analysis,Technology-guided assignment,number of STARTING arms,non-randomised control arm,type of control,Was arm added/dropped planned in protocol? ,Arms ADDED,number of arms ADDED,Reason for ADDING arms,Arms DROPPED,number of arms DROPPED,Reasons for dropping arms,Who made the decision to drop or add arm(s)?,Multiple testing correction for multiple arms ,Trial status,Reason for discontinuation/termination,Research field,Intervention type,Phase,Sponsor,Funder,Single center or multicenter,National or international,"Interim analysis conducted
",number of interim analysis ,Was interim analysis trigger reported?,List Interim analysis  trigger details,Is there multiple testing adjustment,Adaptive design Features( select all applicable) ,Any PPI reported,at what stage PPI were involved ,Who was involved,What was the impact of PPI involvement ,Any additional features that were not captured ,If PUBMED data source,"Any other details, comments"
1,03/04/2025 07:58,03/04/2025 08:50,anonymous,,XL,32723675,Yes,,9/30/2013,NCT01953926,SUMMIT,Yes,Master protocol,Yes,1, Objective Response Rate ,Partially/ Per arm,"HER2-mutant, metastatic cervical cancer receiving neratinib",650,,,,582,,,,Fixed duration,90,,Frequentist,Not available,13,No,,,No,,,Yes,8,Not available,,No,Completed,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,unclear,,,,,futility stopping,No,,,,,,
2,03/05/2025 16:22,03/05/2025 20:55,anonymous,,SD,PMT1,Yes,,7/25/2020,NCT01953926,SUMMIT,Yes,Master protocol,Yes,1,Objective response rate (ORR),Partially/ Per arm,results available for HER2 mutant treated with n,650,No,50,,580,Unclear,,,Perpetual,102,123,Frequentist,No,1,No,,,Yes,5,,Yes,2,Not available;,,No,Discontinued/terminated,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,unclear,,,,,futility stopping;,No,,,,,,
3,03/10/2025 12:35,03/10/2025 12:35,anonymous,,SD,PMT1,Yes,,9/30/2013,NCT01953926, SUMMIT,Yes,Master protocol,Yes,1,objective response rate (ORR)F,Partially/ Per arm,results available for cohort of heavily pretreated patients with HER2 mutant,650,No,50,,580,Yes,,,Perpetual,102,123,Frequentist,,,Yes,,,No,,,Yes,,,,,Ongoing,,Oncology,Non-drug,Phase II,,,,,yes,,,,,sample size re-estimation;futility stopping;adaptive dose adjustment;,No,,,,,,
4,03/12/2025 10:04,03/12/2025 11:08,anonymous,,JS,PM,Yes,,6/25/2019,NCT03944772,ORCHARD,No,,No,1,Objective response rate (ORR),Not available,,182,No,40,,247,Unclear,,,Fixed duration,41,71,3+3 design to confirm the recommended dose of the combination.,Not available,5,No,,,Yes,6,"Group A: Cohorts will be added depending on future biomarkers and combination treatments identified.

Group B: Cohorts can be added upon identification of future treatment options.",No,,,"Study design enables cohorts to be added as relevant data emerge, subject to regulatory and ethics approval",Not available,Ongoing,,Oncology,Combination ( >=2 different interventions),Phase II,Industry,Industry,Multi,International ,yes,0,Yes,"Up to 40 patients will be recruited into each cohort with an interim analysis using data from 16 patients who have had the opportunity for two post-baseline radiological assessments. If ? 4 of the first 16 evaluable patients in a cohort have confirmed responses, recruitment to that cohort may be stopped as this translates to a < 10% probability that the ORR will be above the target of 45%.",Unclear,futility stopping;not clearly reported;,No,,,,,,
5,03/12/2025 14:43,03/12/2025 14:43,anonymous,,NS,34389237,Yes,,6/25/2019,NCT03944772,ORCHARD,No,,No,1,Objective response rate,Not available,,150,Unclear,,,247,Unclear,,,not reported,,,Frequentist,No,5,Yes,Concurrent,,Yes,6,,No,,,,Not available,Ongoing,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,yes,1,No,,No,adaptive dose adjustment;,No,,,,,,
6,03/12/2025 11:30,03/12/2025 15:51,anonymous,,JS,PM,Yes,,08/01/2018,NCT03805399 ,FUTURE,Yes,Old protocol version,Yes,1,Objective Response Rate (ORR),reported in full,,140,Yes,,10-20 per arm,141,Yes,,4;20;46;10;46;6;9,Fixed duration,30,41, Both,No,7,No,,,No,,,Yes,3,recruitment issues;Futility;,N/a,Not available,Unclear,,Oncology,Combination ( >=2 different interventions),Phase II,Industry,Both,Multi,National,yes,1,Yes,"16.6 Interim Analysis - An interim analysis will be conducted when 20 subjects are enrolled in at least one arm and at least one subject is enrolled in each arm to preliminarily evaluate the efficacy and safety of the drug combination in each arm. With the estimated enrollment speed, approximately 50% of subjects would have been enrolled by the interim analysis time point. 

In the interim analysis, the outcomes were favorable, with an objective response rate (ORR) of 29.0% for 69 enrolled patients.24 Here, we report the final clinical efficacy (including survival data for the first time), safety profile, biomarker analysis, and exploration of optimized regimens of the Fudan University Shanghai Cancer Center TNBC umbrella (FUTURE) trial.

Due to the difficulty of enrollment and the promising efficacy observed in other arms in the interim analysis, arms A and G could be terminated early at fewer than 10 patients (more details in Supplementary information, Data S1). Arm C was expanded to a maximum of 41 cases based on the efficacy reported in the interim analysis. Considering a dropout rate of 10%, 46 patients needed to be enrolled.",Unclear,futility stopping;efficacy stopping;sample size re-estimation;,No,,,,,,
7,03/12/2025 22:21,03/12/2025 22:21,anonymous,,NS,36973538,Yes,,3/27/2023,NCT03805399,FUTURE,Yes,Master protocol,Yes,1,Objective Response Rate ,reported in full,,140,Yes,,,141,Yes,,"4, 20, 46, 10, 46, 6, 9",Not available,,,Bayesian,No,7,No,,,No,,,Yes,2,Enrolment issue and high efficacy;,,No,Completed,,Oncology,Drug,Phase I/II,Non-Industry,Public,Multi,International ,yes,1,No,,No,sample size re-estimation;efficacy stopping;,No,,,,,,
8,3/13/2025 8:26,3/13/2025 10:09,anonymous,,JS,CT,Yes,,09/01/2020,NCT04534283,"A Phase 2 Basket Trial of an ERK1/2 Inhibitor (LY3214996) in Combination With Abemaciclib for Patients Whose Tumors Harbor Pathogenic Alterations in BRAF, RAF1, MEK1/2, ERK1/2, and NF1",No,,No,1,Overall Response Rate (ORR),reported in full,,35,No,35,,16,No,16,,Fixed duration,18,35, Both,Not available,1,No,,,No,,,No,,,N/a,No,Discontinued/terminated,Lack of efficacy.,Oncology,Combination ( >=2 different interventions),Phase II,Non-Industry,Not available,Not available,National,unclear,,,,,futility stopping;efficacy stopping;,No,,,,,,
9,3/13/2025 10:10,3/13/2025 11:51,anonymous,,JS,CT,Yes,,05/07/2018,NCT03573544,"A Phase I/II, Open-Label, Dose Escalation and Cohort Expansion Study Evaluating the Safety, Pharmacokinetics (PK), Pharmacodynamics (PD), and Therapeutic Activity of OBI-888 in Patients With Locally Advanced or Metastatic Solid Tumors.",Yes,Master protocol,Yes,1,Clinical Benefit Rate (CBR),reported in full,,150,Yes,,30;30;30;30;30,54,Yes,,5;3;6;8;7;9;8,Perpetual,37,47,Frequentist,No,5,No,,,No,,,No,,,N/a,Not available,Discontinued/terminated,OBI-888 no longer fulfills our goal of developing cost-effective therapies for cancer patients.,Oncology,Drug,Phase I/II,Industry,Not available,Multi,International ,No,,,,,not clearly reported;,No,,,,,,
10,3/13/2025 11:55,3/13/2025 13:22,anonymous,,JS,PM,Yes,,5/26/2020,NCT03838042,INFORM2 Exploratory Multinational Phase I/II Combination Study of Nivolumab and Entinostat in Children and Adolescents With Refractory High-risk Malignancies (INFORM2-NivEnt),No,,No,1,Best response (CR or PR),Not available,,91,No,91,,91,No,91,,Fixed duration,85,58,Bayesian,No,5,No,,,No,,,Yes,2,Not available;,N/a,Not available,Ongoing,,Oncology,Combination ( >=2 different interventions),Phase I/II,Non-Industry,Not available,Multi,International ,unclear,,,,,efficacy stopping;futility stopping;,No,,,,,,
